Volume Filtered [mL],Cell concentration (cell/mL),Filter type,Temperature treatment,Nitrogen treatment,Strain,Replicate,GBT,Ectoine,Proline,DMSP,Glutamate,Glutamine,Sarcosine,Trigonelline,Homarine,Gonyol,Choline,Carnitine,Mannitol/Sorbitol,Trehalose,Citrulline
25,1.86E+06,millipore,22,10%,914,C,772,27,212,9667,5667,1329,264,3.9,2470,291873,20,5885,14565,3176,239
25,2.32E+06,millipore,28,100%,914,C,1899,1746,455,17963,21091,1711,287,2.7,1696,519836,105,6986,74275,1228,279
25,1.77E+06,millipore,18,10%,914,C,179,786,248,5882,4214,234,203,3.1,2713,125687,43,1104,2139,1112,49
50,1.99E+06,millipore,22,100%,874,B,9355,4134,2558,3939,1196,136,365,7.0,6828,212067,5464,1421,58761,5839,460
50,2.05E+06,millipore,22,100%,874,A,8929,4128,2738,1844,219,75,505,3.3,6945,248161,5994,1435,53630,6925,437
25,3.39E+06,millipore,18,100%,914,C,6435,2609,255,22772,115,56,455,4.7,8096,124041,34,978,11873,420,462
25,2.81E+06,millipore,18,100%,914,B,4744,745,165,20343,20,12,100,NA,6091,87591,309,810,11212,205,435
25,1.92E+06,millipore,22,10%,914,B,1004,79,192,8718,3,2,59,NA,1844,42976,55,559,16074,1295,485
25,2.05E+06,millipore,22,10%,914,A,860,12,208,8974,3,2,89,NA,2157,51777,49,587,17025,2547,793
50,2.09E+06,millipore,22,100%,874,C,9271,2917,3068,1083,41,9,630,2.1,6994,280181,6913,1668,66187,1210,563
40,9.88E+05,millipore,18,10%,874,C,106,1862,356,678,6,1,236,1.6,4346,142986,905,543,19173,1233,305
40,1.38E+06,millipore,18,100%,874,C,1485,4081,429,914,45,18,459,2.6,5732,195551,3859,748,16698,1119,763
25,2.97E+06,millipore,22,100%,914,B,12430,645,482,28987,58,20,359,2.2,6232,166605,101,1574,41530,490,469
50,2.39E+06,millipore,22,100%,914,A,17224,3624,801,40112,524,134,686,3.0,9282,275349,272,2242,71928,801,994
25,2.25E+06,millipore,28,100%,914,A,2068,1842,506,11964,48,7,239,0.5,1698,83763,82,821,84558,728,344
25,1.52E+06,millipore,28,10%,914,A,234,86,281,8578,10914,1632,429,2.5,1114,272892,31,7403,35540,2438,185
50,1.23E+06,millipore,22,10%,874,B,322,2421,657,1724,227,22,372,2.1,3792,150428,784,670,56392,36592,518
50,1.44E+06,millipore,22,10%,874,A,650,1812,1289,968,14,3,472,1.7,5223,180721,1756,1106,35049,2042,414
50,1.21E+06,millipore,22,10%,874,C,354,1727,829,798,11,2,290,1.3,4252,153760,862,784,38185,1958,315
25,2.15E+06,millipore,28,100%,914,B,2707,1066,590,12955,41,4,151,0.7,1888,80417,96,891,135596,996,311
25,1.53E+06,millipore,28,10%,914,B,128,17,242,3242,4,1,30,NA,415,14662,13,399,33431,1502,156
25,3.01E+06,millipore,22,100%,914,C,16172,1355,436,48454,20665,3607,760,9.6,7015,1202159,161,14078,45628,525,283
25,1.83E+06,millipore,18,10%,914,A,185,659,218,6474,7,2,149,0.7,2554,40015,74,438,4654,1958,62
40,1.03E+06,millipore,18,10%,874,B,106,3207,401,2112,42,7,217,2.8,4273,128387,950,562,24208,1825,264
40,1.07E+06,millipore,18,10%,874,A,145,2372,429,536,5036,537,398,5.3,3231,650917,827,3041,15487,2727,215
25,1.87E+06,millipore,18,10%,914,B,178,1648,242,6630,8,2,155,0.9,2784,45245,80,438,3379,1401,43
25,2.90E+06,millipore,18,100%,914,A,5649,1472,184,22023,34,22,388,2.7,7017,106039,285,972,15202,254,690
50,1.31E+06,millipore,18,100%,874,A,2069,4634,870,1176,36,22,930,2.9,7185,258249,5035,1020,22684,905,893
40,1.36E+06,millipore,18,100%,874,B,1945,5321,628,1350,271,57,734,4.7,6659,239782,4783,1076,18999,990,577